Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2006,India,IND,Flood,Riverine flood,"Gajapati, Rayagada districts (Orissa province)",33.0,,,
2006,India,IND,Flood,Riverine flood,Jammu and Kashmir provinces,15.0,,800.0,800.0
2006,India,IND,Flood,Riverine flood,"Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",350.0,65.0,,4000065.0
2006,India,IND,Flood,Riverine flood,Gujarat province,,,50000.0,50000.0
2006,India,IND,Flood,Riverine flood,"Barmer, Jaisalmer, Kota, Udaipur districts (Rajasthan province)",135.0,,20000.0,20000.0
2006,India,IND,Flood,Flash flood,Jammu and Kashmir provinces,19.0,,15000.0,15000.0
2006,India,IND,Flood,Riverine flood,"Balrampur, Bahraich, Lakhimpur Kheri, Shravasti, Gonda, Bara Banki districts (Uttar Pradesh province)",42.0,,100000.0,100000.0
2006,India,IND,Flood,Riverine flood,"Tamil Nadu, Andhra Pradesh provinces",47.0,,225000.0,225000.0
2006,India,IND,Flood,Riverine flood,"Orissa, Andhra Pradesh, Chhattisgarh provinces",185.0,,2000000.0,2000000.0
2006,India,IND,Flood,Riverine flood,"Madhya Pradesh, Maharashtra, Rajasthan provinces",61.0,113.0,,113.0
2006,India,IND,Flood,Flash flood,Madhya Pradesh province,39.0,,,
2007,India,IND,Flood,Riverine flood,"Lakhimpur, Dhemaji, Cachar, Karimganj, Hailakandi, Darrang, Dibrugarh districts (Assam province)",15.0,,200000.0,200000.0
2007,India,IND,Flood,Riverine flood,"Junagadh district (Daman and Diu province), Amreli, Bhavnagar, Jamnagar, Junagadh, Porbandar, Rajkot, Surendranagar districts (Gujarat province), Rajasthan, Madhya Pradesh",225.0,,63000.0,63000.0
2007,India,IND,Flood,Riverine flood,"Amravati, Mumbai City, Mumbai Suburban, Raigarh, Ratnagiri, Sindhudurg, Thane districts (Maharashtra province)",62.0,,10000.0,10000.0
2007,India,IND,Flood,Riverine flood,"Raipur, Bilaspur, Mahasamund, Durg districts (Chhattisgarh province)",29.0,,50000.0,50000.0
2007,India,IND,Flood,Flash flood,"Kurnool, Mahbubnagar, Guntur, Prakasam, East Godavari, West Godavari, Anantapur, Cuddapah districts (Andhra Pradesh province), Thrissur district (Kerala province), Belgaum, Bijapur, Bagalkot, Kodagu, Hassan, Mysore districts (Karnataka province), Mumbai City, Pune districts (Maharashtra province)",127.0,,200000.0,200000.0
2007,India,IND,Flood,Riverine flood,"Udaipur, Amarpur cities (South Tripura district, Tripura province), Sonamura citiy (West Tripura district, Tripura province)",,,,
2007,India,IND,Flood,Riverine flood,"Bihar, Uttar Pradesh, Assam, Orissa, West Bengal provinces",1103.0,,18700000.0,18700000.0
2007,India,IND,Flood,Riverine flood,Himachal Pradesh province,76.0,,15000.0,15000.0
2007,India,IND,Flood,Riverine flood,Gujarat province,16.0,,,
2007,India,IND,Flood,Coastal flood,"Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province)",80.0,,7200000.0,7200000.0
2007,India,IND,Flood,Riverine flood,"Kurnool, Cuddapah, Warangal, Nalgonda, Karimnagar, Mahbubnagar, Anantapur, Nellore, Krishna districts (Andhra Pradesh province), Gadag district (Karnataka province)",94.0,,20000.0,20000.0
2007,India,IND,Flood,Riverine flood,"Andhra Pradesh, Tamil Nadu province",29.0,,50000.0,50000.0
2007,India,IND,Flood,Riverine flood,"Cuttack, Puri, Khordha, Jajpur, Jagatsinghpur districts (Orissa province)",15.0,,500000.0,500000.0
2007,India,IND,Flood,Riverine flood,"Assam, Arunachal Pradesh, Meghalaya, Manipur provinces",96.0,,11100000.0,11100000.0
2007,India,IND,Flood,Riverine flood,Kerala province,44.0,,35000.0,35000.0
2007,India,IND,Flood,Flood (General),"Rajasthan, Uttar Pradesh, Madhya Pradesh, Jammu and Kashmir provinces",40.0,8.0,,8.0
2008,India,IND,Flood,Flood (General),"Tamil Nadu, Karnataka provinces",37.0,,10278.0,10278.0
